player_name,player_team,player_cap,player_pos
Jared Boll,Anaheim Ducks,900000,F
Sam Carrick,Anaheim Ducks,650000,F
Emerson Etem,Anaheim Ducks,RFA,F
Max Gortz,Anaheim Ducks,RFA,F
Nicolas Kerdiles,Anaheim Ducks,650000,F
Josh Manson,Anaheim Ducks,825000,D
Jaycob Megna,Anaheim Ducks,RFA,D
Logan Shaw,Anaheim Ducks,650000,F
Clayton Stoner,Anaheim Ducks,3250000,D
Dustin Tokarski,Anaheim Ducks,650000,G
Corey Tropp,Anaheim Ducks,625000,F
Sami Vatanen,Anaheim Ducks,4875000,D
Chris Wagner,Anaheim Ducks,637500,F
Alexander Burmistrov,Arizona Coyotes,RFA,F
Kevin Connauton,Arizona Coyotes,1000000,D
Louis Domingue,Arizona Coyotes,1050000,G
Tyler Gaudet,Arizona Coyotes,RFA,F
Peter Holland,Arizona Coyotes,RFA,F
Josh Jooris,Arizona Coyotes,RFA,F
Jamie McGinn,Arizona Coyotes,3333333,F
Jeremy Morin,Arizona Coyotes,RFA,F
Mitchell Moroz,Arizona Coyotes,RFA,F
Teemu Pulkkinen,Arizona Coyotes,RFA,F
Brad Richardson,Arizona Coyotes,2083333,F
Branden Troock,Arizona Coyotes,RFA,F
Linus Arnesson,Boston Bruins,RFA,D
Matt Beleskey,Boston Bruins,3800000,F
Tommy Cross,Boston Bruins,650000,D
Jimmy Hayes,Boston Bruins,2300000,F
Alexander Khokhlachev,Boston Bruins,--,F
Anton Khudobin,Boston Bruins,1200000,G
Adam McQuaid,Boston Bruins,2750000,D
Colin Miller,Boston Bruins,1000000,D
Joe Morrow,Boston Bruins,RFA,D
Tim Schaller,Boston Bruins,RFA,F
Malcolm Subban,Boston Bruins,RFA,G
Brady Austin,Buffalo Sabres,RFA,D
Zach Bogosian,Buffalo Sabres,5142857,D
William Carrier,Buffalo Sabres,689167,F
Nicolas Deslauriers,Buffalo Sabres,775000,F
Justin Falk,Buffalo Sabres,650000,D
Josh Gorges,Buffalo Sabres,3900000,D
Justin Kea,Buffalo Sabres,RFA,F
Matt Moulson,Buffalo Sabres,5000000,F
Linus Ullmark,Buffalo Sabres,750000,G
Matt Bartkowski,Calgary Flames,612500,D
Lance Bouma,Calgary Flames,2200000,F
Troy Brouwer,Calgary Flames,4500000,F
Alex Chiasson,Calgary Flames,RFA,F
Ryan Culkin,Calgary Flames,RFA,D
Freddie Hamilton,Calgary Flames,612500,F
Brett Kulak,Calgary Flames,RFA,D
Tom McCollum,Calgary Flames,612500,G
Emile Poirier,Calgary Flames,863333,F
Hunter Shinkaruk,Calgary Flames,863333,F
Matt Stajan,Calgary Flames,3125000,F
Linden Vey,Calgary Flames,RFA,F
Tyler Wotherspoon,Calgary Flames,RFA,D
Daniel Altshuller,Carolina Hurricanes,RFA,G
Klas Dahlbeck,Carolina Hurricanes,850000,D
Erik Karlsson,Carolina Hurricanes,RFA,F
Eddie Lack,Carolina Hurricanes,2750000,G
Andrew Miller,Carolina Hurricanes,650000,F
Andrej Nestrasil,Carolina Hurricanes,RFA,F
Joakim Nordstrom,Carolina Hurricanes,1275000,F
Lee Stempniak,Carolina Hurricanes,2500000,F
Cam Ward,Carolina Hurricanes,3300000,G
Dillon Fournier,Chicago Blackhawks,RFA,D
