"Player","Source_Team","CAP","Pos","PTS","plusminus","Age","P_Upside","GP"
"Adam Clendening","New York Rangers",650000,"D",11,3,24,0.100558659217877,31
"Adam Cracknell","Dallas Stars",675000,"RW",16,9,31,0.455026455026455,69
"Adam McQuaid","Boston Bruins",2750000,"D",10,4,30,0.0638297872340425,77
"Alex Biega","Vancouver Canucks",750000,"D",3,-4,28,0.977142857142857,36
"Alex Chiasson","Calgary Flames",660000,"RW",24,-6,26,0.309782608695652,81
"Alexandre Burrows","Ottawa Senators",2500000,"LW",31,3,35,0.954802259887006,75
"Alexei Emelin","Montreal Canadiens",4100000,"D",10,1,30,0.918918918918919,76
"Alexey Marchenko","Toronto Maple Leafs",1450000,"D",8,7,25,0.647727272727273,41
"Andrei Markov","Montreal Canadiens",2112642.72596154,"D",36,18,38,0.491891891891892,62
"Andrej Nestrasil","Carolina Hurricanes",2112642.72596154,"C",5,-3,25,0.252808988764045,19
"Andrej Sustr","Tampa Bay Lightning",1950000,"D",14,-10,26,0.44,80
"Andrew MacDonald","Philadelphia Flyers",5e+06,"D",18,-5,30,0.126903553299492,73
"Andy Andreoff","Los Angeles Kings",677500,"LW",2,-2,25,0.226519337016575,36
"Anthony Bitetto","Nashville Predators",612500,"D",7,-1,26,0.32,29
"Barclay Goodrow","San Jose Sharks",650000,"RW",1,0,23,0.263473053892216,3
"Beau Bennett","New Jersey Devils",650000,"RW",19,-3,25,0.401273885350318,65
"Ben Chiarot","Winnipeg Jets",1400000,"D",12,2,25,0.963541666666667,59
"Ben Lovejoy","New Jersey Devils",2666667,"D",7,-7,32,0.111111111111111,82
"Ben Smith","Toronto Maple Leafs",650000,"RW",4,-7,28,0.243093922651934,40
"Benoit Pouliot","Edmonton Oilers",4e+06,"LW",14,-5,30,0.616279069767442,67
"Bobby Ryan","Ottawa Senators",7250000,"RW",25,-3,29,0.582010582010582,62
"Brad Richardson","Arizona Coyotes",2083333,"RW",9,-1,31,0.322404371584699,16
"Brandon Davidson","Montreal Canadiens",1425000,"D",3,-2,25,0.202185792349727,38
"Brandon Pirri","New York Rangers",650000,"RW",18,-8,25,0.618279569892473,60
"Brayden McNabb","Los Angeles Kings",1700000,"D",4,1,26,0.216931216931217,49
"Brenden Dillon","San Jose Sharks",3270000,"D",10,-2,26,0.197802197802198,81
"Brett Connolly","Washington Capitals",1500000,"RW",23,20,24,0.175824175824176,66
"Brett Kulak","Calgary Flames",650000,"D",3,-3,23,0.35195530726257,21
"Brock Nelson","New York Islanders",2500000,"LW",45,-6,25,0.5,81
"Brooks Orpik","Washington Capitals",5500000,"D",14,32,36,0.188679245283019,79
