"Player","Source_Team","CAP","Pos","PTS","plusminus","Age","P_Upside","Selected"
"Alexandre Burrows","Ottawa Senators",2500000,"LW",31,3,35,0.957317073170732,1
"Alexey Marchenko","Toronto Maple Leafs",1450000,"D",8,7,25,0.606382978723404,1
"Ben Chiarot","Winnipeg Jets",1400000,"D",12,2,25,0.977653631284916,1
"Chris Terry","Montreal Canadiens",650000,"LW",4,-1,27,0.969849246231156,1
"Colin Wilson","Nashville Predators",3937500,"LW",35,7,27,0.361386138613861,1
"Dalton Prout","New Jersey Devils",1575000,"D",6,-1,26,0.854054054054054,1
"David Schlemko","San Jose Sharks",2100000,"D",18,4,29,0.908602150537634,1
"Emerson Etem","Anaheim Ducks",2112642.72596154,"LW",0,1,24,0.960893854748603,1
"Eric Gelinas","Colorado Avalanche",2112642.72596154,"D",1,-4,25,0.974489795918367,1
"Eric Staal","Minnesota Wild",3500000,"C",65,17,32,0.418478260869565,1
"Erik Karlsson","Carolina Hurricanes",6500000,"D",71,10,26,0.434285714285714,1
"Frank Corrado","Pittsburgh Penguins",650000,"D",0,-1,23,0.834285714285714,1
"Iiro Pakarinen","Edmonton Oilers",725000,"RW",4,2,25,0.966850828729282,1
"Jamie Oleksiak","Dallas Stars",964688,"D",7,-4,24,0.839285714285714,1
"Jimmy Hayes","Boston Bruins",2300000,"RW",5,-3,27,0.922155688622755,1
"Josh Bailey","New York Islanders",3300000,"RW",56,5,27,0.644067796610169,1
"Linden Vey","Calgary Flames",2112642.72596154,"RW",0,-2,25,0.972067039106145,1
"Magnus Paajarvi","St. Louis Blues",8e+05,"LW",13,9,25,0.947368421052632,1
"Marcus Kruger","Chicago Blackhawks",3083333,"C",17,7,26,0.905555555555556,1
"Michael Grabner","New York Rangers",1650000,"RW",40,22,29,0.593607305936073,1
"Nick Shore","Los Angeles Kings",925000,"C",17,-2,24,0.946107784431138,1
"Nicolas Deslauriers","Buffalo Sabres",775000,"LW",2,-6,25,0.92817679558011,1
"Peter Holland","Arizona Coyotes",675000,"C",12,-16,26,0.888324873096447,1
"Reid Boucher","Vancouver Canucks",687500,"C",10,-6,23,0.902173913043478,1
"Reilly Smith","Florida Panthers",5e+06,"RW",37,-13,25,0.276243093922652,1
"Slater Koekkoek","Tampa Bay Lightning",8e+05,"D",4,-4,22,0.519553072625698,1
"William Karlsson","Columbus Blue Jackets",1e+06,"C",25,10,24,0.592039800995025,1
"Jared Coreau","Detroit Red Wings",612500,"G",0,0,26,0.5,1
"Michal Neuvirth","Philadelphia Flyers",2500000,"G",0,0,26,0.5,1
"Philipp Grubauer","Washington Capitals",2112642.72596154,"G",0,0,26,0.5,1
